latitude,longitude,corridor,police_station,event_cause,is_obstruction,priority
12.9161187,77.5856548,Non-corridor,J.P. Nagar,pot_holes,0,Low
12.9284355,77.6811918,ORR East 1,Bellandur,vehicle_breakdown,1,High
13.0753282,77.4370383,Non-corridor,No Police Station,vehicle_breakdown,1,Low
13.2673624,77.7195893,Non-corridor,Devanahalli Airport,vehicle_breakdown,1,Low
12.9449039,77.4949618,Non-corridor,Jnanabharathi,others,1,Low
12.9873133,77.6163481,Non-corridor,Pulikeshinagar(F.Town),tree_fall,0,Low
12.969418,77.7006526,ORR East 2,HAL Old Airport,construction,0,High
12.9613232,77.5644194,Mysore Road,Chamarajpet,others,1,High
12.959419,77.5165897,Non-corridor,Byatarayanapura,others,1,Low
12.9431035,77.6220445,Non-corridor,Adugodi,pot_holes,0,Low
12.8482637,77.6713737,Non-corridor,Electronic City,vehicle_breakdown,1,Low
12.96672,77.6093294,Mysore Road,Ashok Nagar,vehicle_breakdown,1,High
13.0253205,77.6400845,ORR North 1,Banaswadi,vehicle_breakdown,1,High
12.8561783,77.6645205,Non-corridor,Electronic City,vehicle_breakdown,1,Low
12.9641056,77.5825203,Mysore Road,Halasuru Gate,water_logging,0,High
12.974757,77.5657216,Magadi Road,Magadi Road,vehicle_breakdown,1,High
12.9640011,77.5836093,Mysore Road,Halasuru Gate,vehicle_breakdown,1,High
12.9480512,77.5343585,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
12.9245654,77.6739287,ORR East 1,Bellandur,vehicle_breakdown,1,High
13.0078566,77.5920655,Non-corridor,R.T. Nagar,tree_fall,0,Low
13.0035862,77.5721203,Non-corridor,Malleshwaram,tree_fall,0,Low
12.9854129,77.5941024,CBD 2,Cubbon Park,others,1,High
12.9272622,77.5806774,Non-corridor,Jayanagara,tree_fall,0,Low
13.0022504,77.5722138,Non-corridor,Sadashivanagar,tree_fall,0,Low
12.9586724,77.5629452,Mysore Road,Chamarajpet,tree_fall,0,High
13.0369808,77.5895122,Bellary Road 1,Hebbala,vehicle_breakdown,1,High
12.9169077,77.5737827,Non-corridor,Jayanagara,vehicle_breakdown,1,Low
12.9047066,77.6016042,Bannerghata Road,J.P. Nagar,pot_holes,0,High
12.9047995,77.6017019,Bannerghata Road,J.P. Nagar,pot_holes,0,High
12.9774707,77.5457303,West of Chord Road,Vijayanagara,water_logging,0,High
12.904781,77.6015741,Bannerghata Road,J.P. Nagar,pot_holes,0,High
12.9238693,77.5536044,ORR West 1,Banashankari,vehicle_breakdown,1,High
12.9585656,77.5932824,Non-corridor,Ashok Nagar,others,1,Low
12.9601533,77.5633429,Mysore Road,Chamarajpet,tree_fall,0,High
12.9578001,77.5631189,Non-corridor,Chamarajpet,tree_fall,0,Low
12.95836,77.5776317,Non-corridor,City Market,vehicle_breakdown,1,Low
12.9187567,77.621505,ORR East 1,Madiwala,pot_holes,0,High
13.0331905,77.5901915,Bellary Road 1,Hebbala,construction,0,High
12.9360494,77.6154975,Non-corridor,Adugodi,vehicle_breakdown,1,Low
12.9784088,77.6285392,Old Madras Road,Halasur,water_logging,0,High
12.9873237,77.6037885,Non-corridor,Shivajinagar,pot_holes,0,Low
13.0190323,77.654465,ORR North 1,Banaswadi,vehicle_breakdown,1,High
13.0446713,77.5828869,ORR North 2,Kodigehalli,congestion,1,High
12.9119892,77.6254956,Hosur Road,Madiwala,vehicle_breakdown,1,High
12.9893579,77.5064443,Magadi Road,Kamakshipalya,vehicle_breakdown,1,High
13.0152581,77.5639687,Tumkur Road,Sadashivanagar,vehicle_breakdown,1,High
12.9392829,77.5596125,Non-corridor,Basavanagudi,tree_fall,0,Low
12.9614398,77.5600867,Mysore Road,Chamarajpet,vehicle_breakdown,1,High
12.9194445,77.6215536,Hosur Road,Madiwala,vehicle_breakdown,1,High
13.0501731,77.4947759,Non-corridor,Chikkabanavara,construction,0,Low
12.8400906,77.6764868,Non-corridor,Electronic City,accident,0,Low
13.042636,77.5147881,Tumkur Road,Chikkabanavara,accident,0,High
12.9110914,77.6001308,Bannerghata Road,Mico Layout,vehicle_breakdown,1,High
12.9516567,77.500185,Non-corridor,Jnanabharathi,others,1,Low
12.9698017,77.7319617,,Whitefield,pot_holes,0,Low
13.114305,77.60655,Bellary Road 2,Yelahanka,vehicle_breakdown,1,High
12.9900159,77.5025425,Magadi Road,Kamakshipalya,vehicle_breakdown,1,High
13.0424443,77.5147257,Tumkur Road,Chikkabanavara,accident,0,High
12.9216832,77.6199372,Hosur Road,Madiwala,vehicle_breakdown,1,High
13.0467369,77.575502,ORR North 2,Kodigehalli,others,1,High
13.0427379,77.5892891,Bellary Road 1,Kodigehalli,vehicle_breakdown,1,High
13.0308555,77.5359082,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
13.0161873,77.7093516,Non-corridor,K.R. Pura,pot_holes,0,Low
12.9693576,77.7006406,ORR East 2,HAL Old Airport,construction,0,High
12.9625526,77.5916298,Non-corridor,Halasuru Gate,vehicle_breakdown,1,Low
12.9893817,77.5927844,Non-corridor,Cubbon Park,others,1,Low
12.938565,77.6979933,ORR East 1,HAL Old Airport,water_logging,0,High
12.9690624,77.5872736,Mysore Road,Halasuru Gate,vehicle_breakdown,1,High
12.961311,77.55932,Mysore Road,Chamarajpet,tree_fall,0,High
12.9146696,77.5640607,ORR West 1,K.S. Layout,road_conditions,0,High
12.9173038,77.5882958,Non-corridor,Jayanagara,vehicle_breakdown,1,Low
12.9144686,77.5650362,ORR West 1,Banashankari,road_conditions,0,High
12.9144815,77.5650493,ORR West 1,Banashankari,road_conditions,0,High
12.9113626,77.5999548,Bannerghata Road,Mico Layout,vehicle_breakdown,1,High
12.9353705,77.5182037,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
12.9216444,77.5940415,Non-corridor,Jayanagara,tree_fall,0,Low
12.9246541,77.6497438,ORR East 1,HAL Old Airport,vehicle_breakdown,1,High
12.9145147,77.5649877,ORR West 1,Banashankari,road_conditions,0,High
12.9145447,77.5650079,ORR West 1,Banashankari,road_conditions,0,High
12.9635928,77.6263774,Non-corridor,Halasur,vehicle_breakdown,1,Low
13.0310785,77.5357035,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
12.8700974,77.6533824,Hosur Road,Electronic City,vehicle_breakdown,1,High
12.9762232,77.6016656,Old Madras Road,Cubbon Park,construction,0,High
12.9211317,77.6627683,ORR East 1,Bellandur,water_logging,0,High
12.9832059,77.5766759,Non-corridor,High ground,vehicle_breakdown,1,Low
12.9793286,77.5105419,Non-corridor,Jnanabharathi,others,1,Low
12.94819783,77.53467664,Mysore Road,Byatarayanapura,others,1,High
13.022765,77.6014354,Non-corridor,R.T. Nagar,tree_fall,0,Low
12.9943131,77.617972,,Pulikeshinagar(F.Town),pot_holes,0,Low
13.0071299,77.5267687,Non-corridor,Rajajinagar,vehicle_breakdown,1,Low
13.1511992,77.620242,Bellary Road 2,Chikkajala,construction,0,High
13.0264,77.544019,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
13.1212507,77.6179465,Non-corridor,Yelahanka,pot_holes,0,Low
12.9895389,77.5057545,Magadi Road,Kamakshipalya,pot_holes,0,High
12.9245044,77.6502426,ORR East 1,HAL Old Airport,vehicle_breakdown,1,High
12.9664142,77.5125512,Non-corridor,Jnanabharathi,vehicle_breakdown,1,Low
12.9758786,77.5643384,Magadi Road,Magadi Road,vehicle_breakdown,1,High
12.9641027,77.5700324,Mysore Road,Chamarajpet,vehicle_breakdown,1,High
12.9124656,77.5805324,Non-corridor,J.P. Nagar,tree_fall,0,Low
12.9228317,77.6575101,ORR East 1,Bellandur,vehicle_breakdown,1,High
13.0378641,77.5222897,Tumkur Road,Peenya,vehicle_breakdown,1,High
12.9583476,77.5547336,Mysore Road,Chamarajpet,vehicle_breakdown,1,High
12.8895087,77.6408236,Hosur Road,HSR Layout,vehicle_breakdown,1,High
12.8895337,77.640687,Hosur Road,HSR Layout,vehicle_breakdown,1,High
12.9847423,77.574706,Non-corridor,Sheshadripuram,vehicle_breakdown,1,Low
13.0229252,77.5099725,Non-corridor,Peenya,vehicle_breakdown,1,Low
12.8894616,77.6407007,Hosur Road,HSR Layout,vehicle_breakdown,1,High
13.0436683,77.6067467,ORR North 1,Hebbala,vehicle_breakdown,1,High
13.0145688,77.5835164,Bellary Road 1,Sadashivanagar,vehicle_breakdown,1,High
13.0186759,77.5588615,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
12.9494883,77.5368741,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
13.0229482,77.601028,Non-corridor,R.T. Nagar,vehicle_breakdown,1,Low
12.9928917,77.5854867,Bellary Road 1,High ground,vehicle_breakdown,1,High
12.9625233,77.6415686,Old Airport Road,Jeevanbheemanagar,vehicle_breakdown,1,High
13.0976738,77.5990251,Bellary Road 2,Yelahanka,vehicle_breakdown,1,High
13.1151883,77.6067482,Bellary Road 2,Yelahanka,vehicle_breakdown,1,High
13.07835,77.502205,Non-corridor,Chikkabanavara,construction,0,Low
12.984191,77.5972223,CBD 2,Shivajinagar,road_conditions,0,High
12.97447,77.5492,West of Chord Road,Magadi Road,vehicle_breakdown,1,High
12.9842204,77.597142,CBD 2,Shivajinagar,road_conditions,0,High
13.0488954,77.4970171,Non-corridor,Chikkabanavara,vehicle_breakdown,1,Low
12.9891874,77.5070709,Magadi Road,Kamakshipalya,vehicle_breakdown,1,High
12.9160564,77.6160829,Non-corridor,Mico Layout,vehicle_breakdown,1,Low
13.16120295,77.62691818,Bellary Road 2,Chikkajala,construction,0,High
12.9532283,77.538385,West of Chord Road,Byatarayanapura,vehicle_breakdown,1,High
12.9844178,77.5970285,CBD 2,Cubbon Park,road_conditions,0,High
12.8569988,77.5889807,Bannerghata Road,Hulimavu,others,1,High
12.9446407,77.5969852,Non-corridor,Wilson Garden,vehicle_breakdown,1,Low
13.0407502,77.5174141,Tumkur Road,Peenya,vehicle_breakdown,1,High
13.0414238,77.545608,ORR North 2,Jalahalli,vehicle_breakdown,1,High
12.95983785,77.64811735,Old Airport Road,Jeevanbheemanagar,vehicle_breakdown,1,High
13.0446065,77.5828293,ORR North 2,Kodigehalli,congestion,1,High
12.9197329,77.5835635,Non-corridor,Jayanagara,vehicle_breakdown,1,Low
12.9875849,77.5182251,Magadi Road,Kamakshipalya,others,1,High
12.9886918,77.519831,Magadi Road,Kamakshipalya,vehicle_breakdown,1,High
12.9595376,77.5557817,Mysore Road,Chamarajpet,vehicle_breakdown,1,High
12.993901,77.6190564,Non-corridor,Pulikeshinagar(F.Town),vehicle_breakdown,1,Low
12.9988047,77.5839954,Bellary Road 1,Sadashivanagar,vehicle_breakdown,1,High
12.8885722,77.640446,Hosur Road,Electronic City,vehicle_breakdown,1,High
12.9858066,77.6051199,Non-corridor,Shivajinagar,pot_holes,0,Low
13.0450698,77.6440587,Non-corridor,Hennuru,construction,0,Low
12.9541849,77.5435568,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
12.9679023,77.5680413,Non-corridor,Chamarajpet,others,1,Low
12.9895932,77.5723117,Non-corridor,Sheshadripuram,vehicle_breakdown,1,Low
13.0522674,77.4879449,Non-corridor,No Police Station,construction,0,Low
13.0446065,77.5828293,ORR North 2,Kodigehalli,congestion,1,High
12.8733932,77.6251719,Non-corridor,Hulimavu,pot_holes,0,Low
12.8732959,77.6248843,Non-corridor,Hulimavu,pot_holes,0,Low
12.9013118,77.6322397,Hosur Road,Madiwala,vehicle_breakdown,1,High
12.972653,77.6185064,Old Madras Road,Halasur,vehicle_breakdown,1,High
13.0379483,77.6257684,Hennur Main Road,K.G. Halli,others,1,High
12.8980705,77.5460958,Non-corridor,K.S. Layout,pot_holes,0,Low
12.9415222,77.5603107,Non-corridor,Basavanagudi,vehicle_breakdown,1,Low
12.965034,77.5747048,Mysore Road,City Market,construction,0,High
12.9904041,77.5993848,Non-corridor,High ground,vehicle_breakdown,1,Low
12.9915317,77.7140583,Non-corridor,Mahadevapura,vehicle_breakdown,1,Low
12.9450066,77.5274017,ORR West 1,Byatarayanapura,vehicle_breakdown,1,High
13.114945,77.60684,Bellary Road 2,Yelahanka,vehicle_breakdown,1,High
13.0176948,77.553788,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
12.9694199,77.7006686,ORR East 2,HAL Old Airport,construction,0,High
12.8985649,77.5435672,Non-corridor,K.S. Layout,pot_holes,0,Low
12.8893347,77.5379823,Non-corridor,Thalagattapura,pot_holes,0,Low
12.9514566,77.6214627,Non-corridor,Ashok Nagar,pot_holes,0,Low
12.9514586,77.6214633,Non-corridor,Ashok Nagar,pot_holes,0,Low
12.9513718,77.621369,Non-corridor,Adugodi,pot_holes,0,Low
12.9643399,77.5855341,Mysore Road,Halasuru Gate,vip_movement,0,High
12.9800987,77.6655755,Non-corridor,Banaswadi,pot_holes,0,Low
12.9441328,77.5010682,Non-corridor,Jnanabharathi,tree_fall,0,Low
12.8785528,77.6720521,Non-corridor,Electronic City,tree_fall,0,Low
12.9643404,77.5855854,Mysore Road,Halasuru Gate,vehicle_breakdown,1,High
12.8785573,77.6719048,Non-corridor,Electronic City,tree_fall,0,Low
13.044562,77.583011,ORR North 2,Kodigehalli,congestion,1,High
13.0317076,77.5355328,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
13.0451384,77.5070153,Tumkur Road,Peenya,vehicle_breakdown,1,High
12.9474732,77.5340694,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
12.850847,77.6685139,Non-corridor,Electronic City,vehicle_breakdown,1,Low
13.0623222,77.459163,Non-corridor,No Police Station,vehicle_breakdown,1,Low
12.860655,77.4311029,Non-corridor,Kengeri,construction,0,Low
13.0355513,77.5265219,Tumkur Road,Peenya,vehicle_breakdown,1,High
12.92335,77.58296,Non-corridor,Jayanagara,tree_fall,0,Low
12.9390583,77.6946217,ORR East 1,HAL Old Airport,vehicle_breakdown,1,High
12.8509801,77.6601903,Non-corridor,Electronic City,tree_fall,0,Low
13.0817559,77.5482378,Non-corridor,Yelahanka,pot_holes,0,Low
12.9891497,77.5077437,Magadi Road,Kamakshipalya,congestion,1,High
13.0145576,77.5696436,Non-corridor,Sadashivanagar,others,1,Low
12.9232313,77.5904837,Non-corridor,Jayanagara,tree_fall,0,Low
13.0357481,77.6283566,ORR North 1,Hennuru,vehicle_breakdown,1,High
12.8196613,77.6877212,Non-corridor,Electronic City,vehicle_breakdown,1,Low
12.9697862,77.7499252,Non-corridor,Whitefield,road_conditions,0,Low
12.9228111,77.7365506,Non-corridor,Whitefield,others,1,Low
12.971535,77.5941929,Mysore Road,Cubbon Park,vehicle_breakdown,1,High
12.96652735,77.60810502,Mysore Road,Ashok Nagar,vehicle_breakdown,1,High
12.926187,77.6772301,ORR East 1,Bellandur,vehicle_breakdown,1,High
13.0077773,77.5838076,Bellary Road 1,Sadashivanagar,vehicle_breakdown,1,High
12.9750878,77.5481342,West of Chord Road,Vijayanagara,vehicle_breakdown,1,High
13.029877,77.5377738,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
12.9340271,77.6892659,ORR East 1,HAL Old Airport,vehicle_breakdown,1,High
12.8353407,77.6791817,Non-corridor,Electronic City,vehicle_breakdown,1,Low
12.9163498,77.6122067,Non-corridor,Mico Layout,vehicle_breakdown,1,Low
12.9948294,77.6040054,Non-corridor,R.T. Nagar,vehicle_breakdown,1,Low
12.9634765,77.6415675,Old Airport Road,Jeevanbheemanagar,water_logging,0,High
13.0775201,77.5924027,Bellary Road 2,Yelahanka,accident,0,High
13.0445011,77.5830561,ORR North 2,Kodigehalli,congestion,1,High
12.9754467,77.548252,West of Chord Road,Magadi Road,vehicle_breakdown,1,High
12.960507,77.5575071,Mysore Road,Chamarajpet,vehicle_breakdown,1,High
12.9963786,77.584919,Bellary Road 1,High ground,vehicle_breakdown,1,High
12.9976941,77.584432,Bellary Road 1,High ground,vehicle_breakdown,1,High
12.9616717,77.6308433,Non-corridor,Halasur,water_logging,0,Low
13.075025,77.4360233,Non-corridor,No Police Station,vehicle_breakdown,1,Low
12.9536214,77.5428369,,Byatarayanapura,pot_holes,0,High
12.92001766,77.66562279,ORR East 1,Bellandur,construction,0,High
12.967049,77.6102824,Non-corridor,Ashok Nagar,others,1,Low
13.07838,77.427995,Non-corridor,No Police Station,construction,0,Low
13.067431,77.4509417,Non-corridor,No Police Station,others,1,Low
13.0565314,77.5934723,Bellary Road 1,Kodigehalli,vehicle_breakdown,1,High
13.0252215,77.5854385,Bellary Road 1,R.T. Nagar,accident,0,High
13.0624083,77.459675,Non-corridor,No Police Station,vehicle_breakdown,1,Low
13.0525889,77.4882603,Non-corridor,No Police Station,others,1,Low
12.9827733,77.5622665,Non-corridor,Sheshadripuram,others,1,Low
13.0517275,77.4890823,Non-corridor,No Police Station,others,1,Low
12.8764512,77.6715527,Non-corridor,Electronic City,vehicle_breakdown,1,Low
12.8912876,77.6260666,Non-corridor,Hulimavu,vehicle_breakdown,1,Low
13.0519799,77.489572,Non-corridor,No Police Station,others,1,Low
12.9520875,77.5407653,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
13.0300435,77.5375531,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
12.9595784,77.6492766,Old Airport Road,Jeevanbheemanagar,accident,0,High
13.0426261,77.5148623,Tumkur Road,Chikkabanavara,others,1,High
12.9557117,77.6916217,Old Airport Road,HAL Old Airport,vehicle_breakdown,1,High
12.9379783,77.5214433,Mysore Road,Byatarayanapura,others,1,High
13.010814,77.5836806,Bellary Road 1,Sadashivanagar,vehicle_breakdown,1,High
13.04648015,77.50384754,Non-corridor,Chikkabanavara,vehicle_breakdown,1,Low
13.0765895,77.5923254,Bellary Road 2,Yelahanka,vehicle_breakdown,1,High
12.8856454,77.541635,,Thalagattapura,pot_holes,0,Low
12.9357223,77.5134413,Mysore Road,Jnanabharathi,others,1,High
12.92071012,77.66535994,ORR East 1,Bellandur,vehicle_breakdown,1,High
13.055969,77.4760833,Non-corridor,No Police Station,vehicle_breakdown,1,Low
12.9694578,77.7006343,ORR East 2,HAL Old Airport,construction,0,High
13.0200506,77.7094059,Non-corridor,K.R. Pura,vehicle_breakdown,1,Low
12.9556427,77.545929,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
12.9137365,77.6774246,Non-corridor,Bellandur,others,1,Low
13.0009179,77.612603,Non-corridor,Pulikeshinagar(F.Town),pot_holes,0,Low
12.9137307,77.6775918,Non-corridor,Bellandur,others,1,Low
12.9964726,77.5845948,Bellary Road 1,Sheshadripuram,vehicle_breakdown,1,High
13.026353,77.544093,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
12.9616777,77.6305228,Non-corridor,Halasur,water_logging,0,Low
12.9061591,77.5856052,ORR West 1,J.P. Nagar,vehicle_breakdown,1,High
12.9964326,77.5846186,Bellary Road 1,High ground,vehicle_breakdown,1,High
13.0471823,77.5687914,ORR North 2,Kodigehalli,vehicle_breakdown,1,High
12.9964147,77.5846199,Bellary Road 1,Sheshadripuram,vehicle_breakdown,1,High
12.9763384,77.575645,Non-corridor,Upparpet,others,1,Low
12.981767,77.5601309,Non-corridor,Magadi Road,vehicle_breakdown,1,Low
12.9725476,77.5079739,Non-corridor,Jnanabharathi,vehicle_breakdown,1,Low
12.9735765,77.5693008,Non-corridor,Chamarajpet,accident,0,Low
13.022045,77.6497867,ORR North 1,Hennuru,vehicle_breakdown,1,High
12.9354371,77.536311,ORR West 1,Banashankari,vehicle_breakdown,1,High
13.0022947,77.6158366,Non-corridor,Pulikeshinagar(F.Town),pot_holes,0,Low
13.0415656,77.6118591,ORR North 1,K.G. Halli,others,1,High
13.0690187,77.5928063,Bellary Road 2,Kodigehalli,vehicle_breakdown,1,High
12.9397541,77.7473664,Non-corridor,Whitefield,congestion,1,Low
12.9859956,77.5893687,Bellary Road 1,High ground,vehicle_breakdown,1,High
12.8878816,77.6407286,Hosur Road,Electronic City,vehicle_breakdown,1,High
12.9692805,77.7006521,ORR East 2,HAL Old Airport,construction,0,High
13.0451892,77.5070112,Tumkur Road,Peenya,vehicle_breakdown,1,High
12.9360198,77.7068567,Non-corridor,HAL Old Airport,vehicle_breakdown,1,Low
13.0424656,77.5148652,Tumkur Road,Chikkabanavara,vehicle_breakdown,1,High
12.9711964,77.6995594,ORR East 2,HAL Old Airport,vehicle_breakdown,1,High
12.9883029,77.509169,Magadi Road,Kamakshipalya,vehicle_breakdown,1,High
12.9898004,77.5721914,Non-corridor,Sheshadripuram,vehicle_breakdown,1,Low
12.92227542,77.61942577,Hosur Road,Madiwala,vehicle_breakdown,1,High
12.913843,77.6774956,Non-corridor,Bellandur,others,1,Low
12.9772269,77.751196,Non-corridor,Whitefield,water_logging,0,Low
13.1092587,77.6039334,Bellary Road 2,Yelahanka,vehicle_breakdown,1,High
13.0386532,77.5740578,Non-corridor,Kodigehalli,tree_fall,0,Low
12.9154072,77.5653126,ORR West 1,Banashankari,vehicle_breakdown,1,High
12.9891588,77.5002047,Magadi Road,Kamakshipalya,vehicle_breakdown,1,High
13.0454067,77.5804235,ORR North 2,Kodigehalli,congestion,1,High
13.0107881,77.6620919,ORR North 1,Banaswadi,vehicle_breakdown,1,High
13.0380265,77.5218887,Tumkur Road,Peenya,vehicle_breakdown,1,High
12.961075,77.6373946,Old Airport Road,Halasur,vehicle_breakdown,1,High
12.9712598,77.597572,Non-corridor,Cubbon Park,construction,0,Low
13.0219533,77.6496153,ORR North 1,Hennuru,vehicle_breakdown,1,High
13.0967428,77.5980771,Bellary Road 2,Yelahanka,accident,0,High
13.03895,77.5895433,Bellary Road 1,Kodigehalli,vehicle_breakdown,1,High
12.9632521,77.5824056,Mysore Road,Halasuru Gate,vehicle_breakdown,1,High
12.97457646,77.62552477,Old Madras Road,Halasur,tree_fall,0,High
13.0081323,77.6928683,Non-corridor,K.R. Pura,procession,0,Low
13.0467793,77.5657141,ORR North 2,Kodigehalli,vehicle_breakdown,1,High
